2024-06-01 21:32:36,500.hm_producer.INFO ==================================================
2024-06-01 21:32:36,500.hm_producer.INFO Today is 2024-06-01 at 09:32 PM
2024-06-01 21:32:36,501.hm_producer.INFO Running on: nt Windows 10
2024-06-01 21:32:36,502.hm_producer.INFO Python version:  3.10.9
2024-06-01 21:32:36,502.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-01 21:32:36,503.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-05-smart-smoker
2024-06-01 21:32:36,503.hm_producer.INFO ==================================================
2024-06-01 21:32:46,021.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:46:45', 37.0)
2024-06-01 21:32:46,056.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:47:10', 205.9)
2024-06-01 21:32:46,089.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:47:15', 205.9)
2024-06-01 21:32:46,131.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:47:35', 37.1)
2024-06-01 21:32:46,178.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:47:40', 37.1)
2024-06-01 21:32:46,210.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:47:40', 35.3)
2024-06-01 21:32:46,240.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:47:45', 35.3)
2024-06-01 21:32:46,272.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:48:10', 230.0)
2024-06-01 21:32:46,302.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:48:15', 230.0)
2024-06-01 21:32:46,338.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:48:35', 36.9)
2024-06-01 21:32:46,374.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:48:40', 36.9)
2024-06-01 21:32:46,407.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:48:40', 35.2)
2024-06-01 21:32:46,439.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:48:45', 35.2)
2024-06-01 21:32:46,474.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:49:10', 239.6)
2024-06-01 21:32:46,508.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:49:15', 239.6)
2024-06-01 21:32:46,544.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:49:35', 36.9)
2024-06-01 21:32:46,577.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:49:40', 36.9)
2024-06-01 21:32:46,612.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:49:40', 35.3)
2024-06-01 21:32:46,648.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:49:45', 35.3)
